Classifier,Class,Precision,Recall,F1-Score,Dice,IoU,Support,Accuracy,Training_Time
SVM (Linear),Group,0.6271186440677966,0.6166666666666667,0.6218487394957983,0.6218487394957983,0.45121951219512196,60,0.7126666666666667,6.2979607582092285
SVM (Linear),Indoor,0.7674418604651163,0.55,0.6407766990291263,0.6407766990291263,0.4714285714285714,60,0.7126666666666667,6.2979607582092285
SVM (Linear),Lion,0.576271186440678,0.5666666666666667,0.5714285714285714,0.5714285714285714,0.4,60,0.7126666666666667,6.2979607582092285
SVM (Linear),Masks,0.7692307692307693,0.8333333333333334,0.8,0.8,0.6666666666666666,60,0.7126666666666667,6.2979607582092285
SVM (Linear),Model,0.660377358490566,0.5833333333333334,0.6194690265486725,0.6194690265486725,0.44871794871794873,60,0.7126666666666667,6.2979607582092285
SVM (Linear),Mountain,0.5,0.6166666666666667,0.5522388059701493,0.5522388059701493,0.38144329896907214,60,0.7126666666666667,6.2979607582092285
SVM (Linear),Owls,0.7014925373134329,0.7833333333333333,0.7401574803149606,0.7401574803149606,0.5875,60,0.7126666666666667,6.2979607582092285
SVM (Linear),Penguin,0.547945205479452,0.6666666666666666,0.6015037593984962,0.6015037593984962,0.43010752688172044,60,0.7126666666666667,6.2979607582092285
SVM (Linear),Plane,0.6727272727272727,0.6166666666666667,0.6434782608695652,0.6434782608695652,0.47435897435897434,60,0.7126666666666667,6.2979607582092285
SVM (Linear),Planet,0.9137931034482759,0.8833333333333333,0.8983050847457628,0.8983050847457628,0.8153846153846154,60,0.7126666666666667,6.2979607582092285
SVM (Linear),Pumpkin,0.7045454545454546,0.5166666666666667,0.5961538461538461,0.5961538461538461,0.4246575342465753,60,0.7126666666666667,6.2979607582092285
SVM (Linear),RacingMotor,0.7692307692307693,0.6666666666666666,0.7142857142857143,0.7142857142857143,0.5555555555555556,60,0.7126666666666667,6.2979607582092285
SVM (Linear),Satelliteimage,0.95,0.95,0.95,0.95,0.9047619047619048,60,0.7126666666666667,6.2979607582092285
SVM (Linear),Sculpt,0.42105263157894735,0.26666666666666666,0.32653061224489793,0.32653061224489793,0.1951219512195122,60,0.7126666666666667,6.2979607582092285
SVM (Linear),Ship,0.6909090909090909,0.6333333333333333,0.6608695652173913,0.6608695652173913,0.4935064935064935,60,0.7126666666666667,6.2979607582092285
SVM (Linear),Sky,0.8125,0.8666666666666667,0.8387096774193549,0.8387096774193549,0.7222222222222222,60,0.7126666666666667,6.2979607582092285
SVM (Linear),Soccer,0.8448275862068966,0.8166666666666667,0.8305084745762712,0.8305084745762712,0.7101449275362319,60,0.7126666666666667,6.2979607582092285
SVM (Linear),Stalactite,0.7142857142857143,0.5833333333333334,0.6422018348623854,0.6422018348623854,0.47297297297297297,60,0.7126666666666667,6.2979607582092285
SVM (Linear),SubSea,0.7441860465116279,0.5333333333333333,0.6213592233009708,0.6213592233009708,0.4507042253521127,60,0.7126666666666667,6.2979607582092285
SVM (Linear),Sunflower,0.8387096774193549,0.8666666666666667,0.8524590163934426,0.8524590163934426,0.7428571428571429,60,0.7126666666666667,6.2979607582092285
SVM (Linear),Sunset,0.7571428571428571,0.8833333333333333,0.8153846153846154,0.8153846153846154,0.6883116883116883,60,0.7126666666666667,6.2979607582092285
SVM (Linear),Surfs,0.7,0.5833333333333334,0.6363636363636364,0.6363636363636364,0.4666666666666667,60,0.7126666666666667,6.2979607582092285
SVM (Linear),Tennis,0.819672131147541,0.8333333333333334,0.8264462809917356,0.8264462809917356,0.704225352112676,60,0.7126666666666667,6.2979607582092285
SVM (Linear),Tiger,0.6153846153846154,0.5333333333333333,0.5714285714285714,0.5714285714285714,0.4,60,0.7126666666666667,6.2979607582092285
SVM (Linear),Volleyball,0.8620689655172413,0.8333333333333334,0.847457627118644,0.847457627118644,0.7352941176470589,60,0.7126666666666667,6.2979607582092285
SVM (Linear),Waterfall,0.78,0.65,0.7090909090909091,0.7090909090909091,0.5492957746478874,60,0.7126666666666667,6.2979607582092285
SVM (Poly),AncestorDinoArt,0.967741935483871,1.0,0.9836065573770492,0.9836065573770492,0.967741935483871,60,0.644,8.915258169174194
SVM (Poly),Archit,0.3793103448275862,0.36666666666666664,0.3728813559322034,0.3728813559322034,0.22916666666666666,60,0.644,8.915258169174194
SVM (Poly),BWimage,0.967741935483871,1.0,0.9836065573770492,0.9836065573770492,0.967741935483871,60,0.644,8.915258169174194
SVM (Poly),Baseball,0.8297872340425532,0.65,0.7289719626168224,0.7289719626168224,0.5735294117647058,60,0.644,8.915258169174194
SVM (Poly),Basketball,0.8846153846153846,0.7666666666666667,0.8214285714285714,0.8214285714285714,0.696969696969697,60,0.644,8.915258169174194
SVM (Poly),Beach,0.5777777777777777,0.43333333333333335,0.49523809523809526,0.49523809523809526,0.3291139240506329,60,0.644,8.915258169174194
SVM (Poly),Billiardsball,0.8958333333333334,0.7166666666666667,0.7962962962962963,0.7962962962962963,0.6615384615384615,60,0.644,8.915258169174194
SVM (Poly),Bus,0.75,0.8,0.7741935483870968,0.7741935483870968,0.631578947368421,60,0.644,8.915258169174194
SVM (Poly),Car,0.8378378378378378,0.5166666666666667,0.6391752577319587,0.6391752577319587,0.4696969696969697,60,0.644,8.915258169174194
SVM (Poly),Cartoon,0.7368421052631579,0.9333333333333333,0.8235294117647058,0.8235294117647058,0.7,60,0.644,8.915258169174194
SVM (Poly),Castle,0.3770491803278688,0.38333333333333336,0.38016528925619836,0.38016528925619836,0.23469387755102042,60,0.644,8.915258169174194
